airline_name,month,origin_city,total_flights,delayed_flights,lat,lon
Frontier Airlines,2,"Phoenix, AZ",703,101.0,33.4342,-112.0081
Frontier Airlines,2,"San Francisco, CA",327,94.0,37.6213,-122.379
Frontier Airlines,2,"Seattle, WA",112,22.0,47.4502,-122.3088
Frontier Airlines,3,"Atlanta, GA",1070,351.0,33.6407,-84.4277
Frontier Airlines,3,"Charlotte, NC",209,54.0,35.214,-80.9431
Frontier Airlines,3,"Chicago, IL",590,162.0,41.9742,-87.9073
Frontier Airlines,3,"Dallas/Fort Worth, TX",787,166.0,32.8998,-97.0403
Frontier Airlines,3,"Denver, CO",1938,444.0,39.8561,-104.6737
Frontier Airlines,3,"Houston, TX",397,130.0,29.9804,-95.3397
Frontier Airlines,3,"Las Vegas, NV",1066,237.0,36.084,-115.1537
Frontier Airlines,3,"Los Angeles, CA",442,140.0,33.9416,-118.4085
Frontier Airlines,3,"New York, NY",436,126.0,40.6413,-73.7781
Frontier Airlines,3,"Phoenix, AZ",877,183.0,33.4342,-112.0081
Frontier Airlines,3,"San Francisco, CA",387,95.0,37.6213,-122.379
Frontier Airlines,3,"Seattle, WA",149,37.0,47.4502,-122.3088
Hawaiian Airlines,1,"Las Vegas, NV",126,24.0,36.084,-115.1537
Hawaiian Airlines,1,"Los Angeles, CA",192,26.0,33.9416,-118.4085
Hawaiian Airlines,1,"New York, NY",31,5.0,40.6413,-73.7781
Hawaiian Airlines,1,"Phoenix, AZ",31,1.0,33.4342,-112.0081
Hawaiian Airlines,1,"San Francisco, CA",66,5.0,37.6213,-122.379
Hawaiian Airlines,1,"Seattle, WA",69,23.0,47.4502,-122.3088
Hawaiian Airlines,2,"Las Vegas, NV",110,23.0,36.084,-115.1537
Hawaiian Airlines,2,"Los Angeles, CA",168,30.0,33.9416,-118.4085
Hawaiian Airlines,2,"New York, NY",28,6.0,40.6413,-73.7781
Hawaiian Airlines,2,"Phoenix, AZ",28,1.0,33.4342,-112.0081
Hawaiian Airlines,2,"San Francisco, CA",52,5.0,37.6213,-122.379
Hawaiian Airlines,2,"Seattle, WA",56,24.0,47.4502,-122.3088
Hawaiian Airlines,3,"Las Vegas, NV",135,31.0,36.084,-115.1537
Hawaiian Airlines,3,"Los Angeles, CA",200,28.0,33.9416,-118.4085
Hawaiian Airlines,3,"New York, NY",31,10.0,40.6413,-73.7781
Hawaiian Airlines,3,"Phoenix, AZ",31,1.0,33.4342,-112.0081
Hawaiian Airlines,3,"San Francisco, CA",74,15.0,37.6213,-122.379
Hawaiian Airlines,3,"Seattle, WA",75,18.0,47.4502,-122.3088
JetBlue Airways,1,"Atlanta, GA",158,47.0,33.6407,-84.4277
JetBlue Airways,1,"Chicago, IL",53,9.0,41.9742,-87.9073
JetBlue Airways,1,"Dallas/Fort Worth, TX",20,8.0,32.8998,-97.0403
JetBlue Airways,1,"Denver, CO",88,21.0,39.8561,-104.6737
JetBlue Airways,1,"Houston, TX",40,23.0,29.9804,-95.3397
JetBlue Airways,1,"Las Vegas, NV",242,45.0,36.084,-115.1537
JetBlue Airways,1,"Los Angeles, CA",552,71.0,33.9416,-118.4085
JetBlue Airways,1,"New York, NY",2992,619.0,40.6413,-73.7781
JetBlue Airways,1,"Phoenix, AZ",161,28.0,33.4342,-112.0081
JetBlue Airways,1,"San Francisco, CA",337,37.0,37.6213,-122.379
JetBlue Airways,1,"Seattle, WA",31,3.0,47.4502,-122.3088
JetBlue Airways,2,"Atlanta, GA",155,50.0,33.6407,-84.4277
JetBlue Airways,2,"Chicago, IL",53,11.0,41.9742,-87.9073
JetBlue Airways,2,"Dallas/Fort Worth, TX",22,8.0,32.8998,-97.0403
